E(level)(keV),XREF,Jπ(level),T1/2(level),E(γ)(keV),I(γ),M(γ),Final Levels,
0.00 0,ABCDEFGHIJK,5+,"1925.28 d 14 , % β- = 100",,,,,
58.59 1,ABCDEFG IJK,2+,"10.467 m 6 , % IT = 99.75 3, % β- = 0.25 3",58.603 7,100,M3+(E4),0,5+
277.20 2,ABCD FG,4+,,277.08 3,100,(M1+E2),0,5+
288.40 2,ABCDEFG I,3+,,229.72 4,100,(M1+E2),58.59,2+
435.71 4,ABCDEFG I,5+,,"158.46 5 ,    435.71 5","100.0 7 ,     64.0 13","(M1+E2), (M1+E2)","277.20,       0.0","4+, 5+"
506.20 3,ABCDEFG I,3+,,"217.88 20 ,    447.68 9","0.53 5 ,    100.0 13",", (M1+E2)","288.40,      58.59","3+, 2+"
542.82 2,ABCDEFG I,2+,,"254.23 5 ,    484.21 3","100.0 19 ,     61.5 7","(M1+E2),","288.40,      58.59","3+, 2+"
614.55 2,ABCDE G I,3+,,"337.32 7 ,    555.969 12","3.68 10 ,    100.0 9",", (M1+E2)","277.20,      58.59","4+, 2+"
738.80 2,AB DE G,1+,,"195.84 5 ,    680.210 13","70.7 11 ,    100.0 16",",","542.82,      58.59","2+, 2+"
785.71 1,ABCDEFG I,4+,< 3.2 ps,"171.3 3 ,    349.87 8 ,    497.275 18 ,    785.724 10","2.3 4 ,      4.33 14 ,     83.7 6 ,    100.0 14",", , (M1+E2), (M1+E2)","614.55,     435.71,     288.40,       0.0","3+, 5+, 3+, 5+"
940 30 ?,H,,,,,,,
1003.91 2,ABCD  G,"(3,4)",,"461.04 3 ,    715.38 8 ,    726.709 13 ,    945.321 17","52.6 4 ,      4.8 4 ,     48.2 7 ,    100 2",", , ,","542.82,     288.40,     277.20,      58.59","2+, 3+, 4+, 2+"
1005.80 2,ABCDE   I,4,,"220.00 11 ,    391.221 21 ,    717.415 10 ,   1005.69 4","3.58 14 ,    100.0 7 ,     78.3 10 ,     12.3 5",", D+Q, ,","785.71,     614.55,     288.40,       0.0","4+, 3+, 3+, 5+"
1131.98 19,AB D,,,393.18 19,100,,738.8,1+
1150.70 5,ABC E,"(2+,3+)",,862.30 4,100,,288.4,3+
1207.83 3,ABC   G,5+,,"930.614 17 ,   1207.96 7","100.0 18 ,     40 4",",","277.20,       0.0","4+, 5+"
1216.45 18,AB DEF,6+,0.28 ps +21-14,"779.91 16 ?,   1216.44 18","35 7 ,    100",",","435.71,       0.0","5+, 5+"
1216.85 3,BCD  G,4,,"710.648 10 ,    928.42 3","100.0 13 ,     23.8 7",",","506.20,     288.40","3+, 3+"
1341.86 3,ABC E,3+,,"799.03 3 ,   1283.27 3 ,   1341.2 3","54.0 15 ,    100 3 ,      6.7 19",", ,","542.82,      58.59,       0.0","2+, 2+, 5+"
1379.74 6,AB DEF,6+,0.7 ps 3,"172.1 4 ,    944.05 5","19 6 ,    100 6",",","1207.83,     435.71","5+, 5+"
1380.97 4,ABCD,3+,,1103.76 3,100,,277.2,4+
1451.21 3,ABC,4+,,"665.52 4 ,    908.37 3","71 3 ,    100 4",",","785.71,     542.82","4+, 2+"
1508.30 9,AB DE,"2+,3+",,1002.09 8,100,,506.2,3+
1510 10,D,7+,,,,,,
1515.80 3,A C,4+,,"901.282 15 ,   1238.561 22 ,   1515.748 14","17.1 3 ,     12.0 3 ,    100 3",", ,","614.55,     277.20,       0.0","3+, 4+, 5+"
1565.94 3,ABC,2,,"224.1 3 ,   1277.49 3 ,   1507.348 23","14.9 21 ,     28.2 9 ,    100 3",", ,","1341.86,     288.40,      58.59","3+, 3+, 2+"
1639.84 3,ABCD,"3+,4+,5+",,"854.147 22 ,   1362.49 6","100.0 23 ,     43.6 23",",","785.71,     277.20","4+, 4+"
≈1669?,A,,,,,,,
1686.21 5,B  E,1+,,947.41 4,100,,738.8,1+
1709.68 13,ABC,,,1651.05 13,100,,58.59,2+
1749.29 3,ABC,3+,,"963.57 3 ,   1206.66 12 ,   1472.01 3 ,   1690.74 4","54.2 17 ,     34 5 ,     94 3 ,    100 5",", , ,","785.71,     542.82,     277.20,      58.59","4+, 2+, 4+, 2+"
1787.62 4,ABCD,5(+),,"781.81 3 ,   1787.4 3","100 3 ,     43 15",",","1005.80,       0.0","4, 5+"
1800.22 15,AB  EF,(6)-,1.7 ps +14-6,"420.86 19 ,    584.43 10 ,   1799.70 22","1.1 11 ,      6.5 22 ,    100.0 22",", , [E1]","1379.74,    1216.45,       0.0","6+, 6+, 5+"
1808.63 15,ABC E,4-,,1808.37 18,100,,0,5+
1830.80 2,ABC,4+,,"1553.68 6 ,   1830.763 21","7.1 4 ,    100 4",",","277.20,       0.0","4+, 5+"
1833.23 4,B,,,1774.62 3,100,,58.59,2+
1852.71 4,ABC,4+,,1852.678 25,100,,0,5+
1877.15 5,BCDE,2,,"1262.56 10 ,   1818.54 5","17.2 14 ,    100 6",",","614.55,      58.59","3+, 2+"
1888.90 4,ABCDE,4+,,"883.20 5 ,   1274.26 3 ,   1889.04 8","36.5 18 ,    100 3 ,     50 4",", ,","1005.80,     614.55,       0.0","4, 3+, 5+"
1924.29 21,ABC,+,,1647.06 21,100,,277.2,4+
1981.20 5,ABCDE,4,,1692.78 4,100,,288.4,3+
1983.52 16,BCD,,,174.91 5,100,,1808.63,4-
2032.71 11,ABC E,"2+,3+",,824.88 10,100,,1207.83,5+
2045.42 11,ABCD,,,"837.62 14 ,   1539.16 17","53 7 ,    100 13",",","1207.83,     506.20","5+, 3+"
2080.77 11,B D,,,2022.15 11,100,,58.59,2+
2121.82 5,ABCD,"3(+),4(+)",,"1117.92 5 ,   2121.3 3","100 5 ,     27 6",",","1003.91,       0.0","(3,4), 5+"
2132.23 23,A  D F,(7-),< 0.49 ps,"332.54,    916.44 14","100 6 ,     22 6",",","1800.22,    1216.45","(6)-, 6+"
2133.44 7,BCD,"3,4",,"1844.98 9 ,   2074.84 9","70 5 ,    100 6",",","288.40,      58.59","3+, 2+"
2151.9 3,ABC,,,1146.1 3,100,,1005.8,4
2183.10 6,BC E,"2+,3+",,617.15 5,100,,1565.94,2
2199.9 3,ABC,,,,,,,
2221.56 9,ABCDE,4+,,"1215.79 14 ,   2221.49 10","9E+1 4 ,      1.0E+2 1",",","1005.80,       0.0","4, 5+"
2230.44 10,ABC,,,2171.65 11,100,,58.59,2+
2274.67 16,ABCD   H,,,1986.24 16,100,,288.4,3+
2279.94 20,ABCD,5+,,2279.89 20,100,,0,5+
2310.15 6,ABC,3,,2032.91 4,100,,277.2,4+
2318.4 10,A,,,,,,,
2324.3 4,BC,,,2265.7 4,100,,58.59,2+
2341.82 8,ABCD,,,1556.09 8,100,,785.71,4+
2351.87 9,ABCD,,,"1134.75 13 ,   1809.53 24","26 3 ,      1.0E+2 4",",","1216.85,     542.82","4, 2+"
2363.96 9,ABC,,,,,,,
2423.28 10,ABC,4,,1419.35 7,100,,1003.91,"(3,4)"
2430.97 10,ABC E,"3-,4-",,"297.55 8 ,   2430.85 24","100 3 ,     57 8",",","2133.44,       0.0","3,4, 5+"
2450.87 15,ABCD,"3,4",,370.09 10,100,,2080.77,
2469.72 24,AB,,,2469.6 3,100,,0,5+
2488.71 9,ABC,5,,"1271.91 10 ,   1982.34 17 ,   2210.8 7 ,   2488.59 21","81 7 ,     96 11 ,     28 12 ,    100 12",", , ,","1216.85,     506.20,     277.20,       0.0","4, 3+, 4+, 5+"
2529.00 15,ABC,,,"728.753 23 ,   2240.5 8","100 3 ,     11 5",",","1800.22,     288.40","(6)-, 3+"
2546 3,B,,,,,,,
2560.0 3,ABC,,,2501.3 3,100,,58.59,2+
2569.96 7,ABC,4,,"2063.82 11 ,   2281.75 15 ,   2569.68 11","39 3 ,     79 10 ,    100 6",", ,","506.20,     288.40,       0.0","3+, 3+, 5+"
2585.73 7,ABCD,,,"233.89 11 ,   1069.92 11 ,   2527.04 11","14.8 7 ,     20.2 20 ,    100 7",", ,","2351.87,    1515.80,      58.59",", 4+, 2+"
2598.07 11,ABCDE,3+,,2309.63 11,100,,288.4,3+
2607.58 13,ABC,,,2607.52 13,100,,0,5+
2622.07 15,BC,,,589.35 11,100,,2032.71,"2+,3+"
2655.71 19,ABC,,,1504.99 18,100,,1150.7,"(2+,3+)"
2685.35 22,ABC,"3-,4-",,2249.71 22,100,,435.71,5+
2709.97 20,ABCD,"2,3,4",,2203.73 19,100,,506.2,3+
2718.80 16,B DE,1,,,,,,
2734.5 8,AB,,,,,,,
2760.9 5,ABC,,,2472.4 5,100,,288.4,3+
2768.13 25,ABCD,,,"2262.4 4 ,   2768.4 5","72 14 ,    100 17",",","506.20,       0.0","3+, 5+"
2771.35 24,AB,,,1639.35 14,100,,1131.98,
2785.77 15,AB,"3,4",,2727.11 15,100,,58.59,2+
2801.6 3,AB,,,2801.7 4,100,,0,5+
2809.7 4,AB,,,,,,,
2823.2 5,A C  F,(8)-,< 0.42 ps,691.0 4,100,,2132.23,(7-)
2825.60 11,B,"3-,4-",,2319.36 10,100,,506.2,3+
2845.03 14,ABC,,,"1158.85 15 ,   2338.6 3","45 6 ,    100 17",",","1686.21,     506.20","1+, 3+"
2867.57 12,ABC,,,"2128.71 14 ,   2361.38 22","1.0E+2 1 ,     82 11",",","738.80,     506.20","1+, 3+"
2884 10,D,5+,,,,,,
2884.92 8,ABCD,"3-,4-",,"2099.21 7 ,   2884.43 24","100 6 ,     87 8",",","785.71,       0.0","4+, 5+"
2897.4 8 ?,A,,,,,,,
2901.81 9,BC,,,779.98 7,100,,2121.82,"3(+),4(+)"
2917.6 8 ?,A,,,,,,,
2920.4 4,BC,,,"2632.1 4 ,   2861.2 7","75 16 ,    100 23",",","288.40,      58.59","3+, 2+"
2936.48 14,B,,,1226.79 4,100,,1709.68,
2939.2 9,A,,,,,,,
2944.2 3,ABC,,,744.27 6,100,,2199.9,
2963.09 11,ABC,,,532.11 4,100,,2430.97,"3-,4-"
2996.9 3,ABC,,,2454.0 3,100,,542.82,2+
3010.1 3,ABC,,,1176.9 3,100,,1833.23,
3022.28 9,ABC,"3,4",,"1382.41 7 ,   2745.7 9","100 6 ,     51 13",",","1639.84,     277.20","3+,4+,5+, 4+"
3047.5 6,ABC,,,2759.0 6,100,,288.4,3+
3064.8 3,AB,,,"2628.7 5 ,   3006.2 3","70 12 ,    100 11",",","435.71,      58.59","5+, 2+"
3077.06 25,AB,,,2641.29 24,100,,435.71,5+
3084.6 4,ABC,,,3084.8 6,100,,0,5+
3096.35 9,AB,,,2357.51 8,100,,738.8,1+
3108 10,D,7+,,,,,,
3114.1 6,ABC,"3,4",,2836.8 6,100,,277.2,4+
3121.4 4,ABC,,,"2831.7 13 ,   3121.4 4","44 19 ,    100 12",",","288.40,       0.0","3+, 5+"
3132.2 3,AB,,,2346.4 6,100,,785.71,4+
3141.47 13,BC,,,1924.59 12,100,,1216.85,4
3155.49 19,ABC,,,"2866.4 7 ,   3096.92 20 ,   3154.1 10","42 11 ,    100 7 ,     23 7",", ,","288.40,      58.59,       0.0","3+, 2+, 5+"
3162.7 3,BC,,,602.711 25,100,,2560,
3186.6 4,ABC,"3-,4-",,3127.9 4,100,,58.59,2+
3191.00 8,BC,,,827.03 7,100,,2363.96,
3199.3 9,A,,,,,,,
3203.22 13,AB D,,,"972.50 15 ,   2926.31 17","56 3 ,    100 8",",","2230.44,     277.20",", 4+"
3216.24 18,B D,,,3216.15 18,100,,0,5+
3238.5 3,B,,,,,,,
≈3265,A,,,,,,,
3279.46 13,BC,,,1246.74 8,100,,2032.71,"2+,3+"
3283.81 17,ABCD,"3,4",,"2777.5 3 ,   2995.30 22 ,   3284.0 5","73 8 ,     95 8 ,    100 15",", ,","506.20,     288.40,       0.0","3+, 3+, 5+"
≈3314,A,,,,,,,
3336.48 24,BC,,,"2899.8 4 ,   3048.5 3","85 11 ,      1.0E+2 1",",","435.71,     288.40","5+, 3+"
3343.26 18,BCD,,,2557.49 18,100,,785.71,4+
≈3367,A,,,,,,,
≈3393,A,"3-,4-",,,,,,
3415.51 12,ABCD,,,1334.72 5,100,,2080.77,
≈3436,A,,,,,,,
3460.4 3,ABC E,,,3401.7 3,100,,58.59,2+
3465.53 21,BC,,,1677.89 20,100,,1787.62,5(+)
3469 10,D,7+,,,,,,
3496.94 24,ABC    H,,,,,,,
3514.79 23,ABC,,,"829.45 8 ,   3513.6 7","100 8 ,     61 14",",","2685.35,       0.0","3-,4-, 5+"
3529 10,DE,,,,,,,
3560 20,D,5+,,,,,,
3562.09 24,AB D,,,"1092.347 22 ,   3503.7 4","100.0 24 ,     13.6 18",",","2469.72,      58.59",", 2+"
3588.98 13,ABC,"3-,4-",,1839.66 11,100,,1749.29,3+
3594.92 22,BC E,,,"1612.3 3 ,   1785.94 18","17 4 ,    100 19",",","1983.52,    1808.63",", 4-"
≈3622,A,"3-,4-",,,,,,
3646.6 5,F,-9,< 0.35 ps,823.33 20,100,,2823.2,(8)-
3650.4 4,AB  E,,,2434.5 3,100,,1216.45,6+
3674 10,A  DE,7+,,,,,,
3690.5 7,A    F,-9,< 0.28 ps,867.3 5,100,,2823.2,(8)-
3696.9 4,AB,,,1544.99 12,100,,2151.9,
≈3721,A,,,,,,,
