E(level)(keV),JPi(level),E()(keV),I(),M()
0.00 0,5+,0.00 0,0,E 2
58.59 1,2+,58.603 7,100 1,E 4
277.20 2,4+,277.08 3,100 1,E 2
288.40 2,3+,229.72 4,100 1,E 2
435.71 4,5+,158.46 5,100.0 7,E 2
435.71 4,5+,158.46 5,100.0 7,E 2
435.71 4,5+,158.46 5,64.0 13,E 2
435.71 4,5+,158.46 5,64.0 13,E 2
435.71 4,5+,435.71 5,100.0 7,E 2
435.71 4,5+,435.71 5,100.0 7,E 2
435.71 4,5+,435.71 5,64.0 13,E 2
435.71 4,5+,435.71 5,64.0 13,E 2
506.20 3,3+,217.88 20,0.53 5,E 2
506.20 3,3+,217.88 20,100.0 13,E 2
506.20 3,3+,447.68 9,0.53 5,E 2
506.20 3,3+,447.68 9,100.0 13,E 2
542.82 2,2+,254.23 5,100.0 19,E 2
542.82 2,2+,254.23 5,61.5 7,E 2
542.82 2,2+,484.21 3,100.0 19,E 2
542.82 2,2+,484.21 3,61.5 7,E 2
614.55 2,3+,337.32 7,3.68 10,E 2
614.55 2,3+,337.32 7,100.0 9,E 2
614.55 2,3+,555.969 12,3.68 10,E 2
614.55 2,3+,555.969 12,100.0 9,E 2
738.80 2,1+,195.84 5,70.7 11,E 2
738.80 2,1+,195.84 5,100.0 16,E 2
738.80 2,1+,680.210 13,70.7 11,E 2
738.80 2,1+,680.210 13,100.0 16,E 2
785.71 1,4+,171.3 3,2.3 4,E 2
785.71 1,4+,171.3 3,2.3 4,E 2
785.71 1,4+,171.3 3,4.33 14,E 2
785.71 1,4+,171.3 3,4.33 14,E 2
785.71 1,4+,171.3 3,83.7 6,E 2
785.71 1,4+,171.3 3,83.7 6,E 2
785.71 1,4+,171.3 3,100.0 14,E 2
785.71 1,4+,171.3 3,100.0 14,E 2
785.71 1,4+,349.87 8,2.3 4,E 2
785.71 1,4+,349.87 8,2.3 4,E 2
785.71 1,4+,349.87 8,4.33 14,E 2
785.71 1,4+,349.87 8,4.33 14,E 2
785.71 1,4+,349.87 8,83.7 6,E 2
785.71 1,4+,349.87 8,83.7 6,E 2
785.71 1,4+,349.87 8,100.0 14,E 2
785.71 1,4+,349.87 8,100.0 14,E 2
785.71 1,4+,497.275 18,2.3 4,E 2
785.71 1,4+,497.275 18,2.3 4,E 2
785.71 1,4+,497.275 18,4.33 14,E 2
785.71 1,4+,497.275 18,4.33 14,E 2
785.71 1,4+,497.275 18,83.7 6,E 2
785.71 1,4+,497.275 18,83.7 6,E 2
785.71 1,4+,497.275 18,100.0 14,E 2
785.71 1,4+,497.275 18,100.0 14,E 2
785.71 1,4+,785.724 10,2.3 4,E 2
785.71 1,4+,785.724 10,2.3 4,E 2
785.71 1,4+,785.724 10,4.33 14,E 2
785.71 1,4+,785.724 10,4.33 14,E 2
785.71 1,4+,785.724 10,83.7 6,E 2
785.71 1,4+,785.724 10,83.7 6,E 2
785.71 1,4+,785.724 10,100.0 14,E 2
785.71 1,4+,785.724 10,100.0 14,E 2
940 30 ?,,nan,nan,E 2
1003.91 2,"(3,4)",461.04 3,52.6 4,E 2
1003.91 2,"(3,4)",461.04 3,4.8 4,E 2
1003.91 2,"(3,4)",461.04 3,48.2 7,E 2
1003.91 2,"(3,4)",461.04 3,100 2,E 2
1003.91 2,"(3,4)",715.38 8,52.6 4,E 2
1003.91 2,"(3,4)",715.38 8,4.8 4,E 2
1003.91 2,"(3,4)",715.38 8,48.2 7,E 2
1003.91 2,"(3,4)",715.38 8,100 2,E 2
1003.91 2,"(3,4)",726.709 13,52.6 4,E 2
1003.91 2,"(3,4)",726.709 13,4.8 4,E 2
1003.91 2,"(3,4)",726.709 13,48.2 7,E 2
1003.91 2,"(3,4)",726.709 13,100 2,E 2
1003.91 2,"(3,4)",945.321 17,52.6 4,E 2
1003.91 2,"(3,4)",945.321 17,4.8 4,E 2
1003.91 2,"(3,4)",945.321 17,48.2 7,E 2
1003.91 2,"(3,4)",945.321 17,100 2,E 2
1005.80 2,4,220.00 11,3.58 14,E 2
1005.80 2,4,220.00 11,100.0 7,E 2
1005.80 2,4,220.00 11,78.3 10,E 2
1005.80 2,4,220.00 11,12.3 5,E 2
1005.80 2,4,391.221 21,3.58 14,E 2
1005.80 2,4,391.221 21,100.0 7,E 2
1005.80 2,4,391.221 21,78.3 10,E 2
1005.80 2,4,391.221 21,12.3 5,E 2
1005.80 2,4,717.415 10,3.58 14,E 2
1005.80 2,4,717.415 10,100.0 7,E 2
1005.80 2,4,717.415 10,78.3 10,E 2
1005.80 2,4,717.415 10,12.3 5,E 2
1005.80 2,4,1005.69 4,3.58 14,E 2
1005.80 2,4,1005.69 4,100.0 7,E 2
1005.80 2,4,1005.69 4,78.3 10,E 2
1005.80 2,4,1005.69 4,12.3 5,E 2
1131.98 19,,393.18 19,100,E 2
1150.70 5,"(2+,3+)",862.30 4,100,E 2
1207.83 3,5+,930.614 17,100.0 18,E 2
