E(level)(keV),JPi(level),E()(keV),I(),M(),BandName,BandNum,Z
0,0+,nan,nan,E 2,Hf166,18,72
158.64 5,2+,158.64 4,100 0,E 2,,,
470.46 6,4+,311.87 5,100 0,E 2,,,
809.96 6,(2+),651.26 5,93.6 20,E 2,,,
809.96 6,(2+),651.26 5,100 9,E 2,,,
809.96 6,(2+),810.0 3,93.6 20,E 2,,,
809.96 6,(2+),810.0 3,100 9,E 2,,,
897.17 12,6+,426.7 1,100 0,E 2,,,
1007.16 6,(3+),536.81 7,15.7 16,E 2,,,
1007.16 6,(3+),536.81 7,100 7,E 2,,,
1007.16 6,(3+),848.41 6,15.7 16,E 2,,,
1007.16 6,(3+),848.41 6,100 7,E 2,,,
1064.99 10,(0+),906.35 9,100 0,E 2,,,
1162.70 8,nan,692.23 6,100 0,E 2,,,
1218.76 8,2+,748.25 7,100 7,E 2,,,
1218.76 8,2+,748.25 7,77 10,E 2,,,
1218.76 8,2+,748.25 7,33 13,E 2,,,
1218.76 8,2+,1060.2 1,100 7,E 2,,,
1218.76 8,2+,1060.2 1,77 10,E 2,,,
1218.76 8,2+,1060.2 1,33 13,E 2,,,
1218.76 8,2+,1218.8 3,100 7,E 2,,,
1218.76 8,2+,1218.8 3,77 10,E 2,,,
1218.76 8,2+,1218.8 3,33 13,E 2,,,
1332.41 7,(2+,861.97 7,92 5,E 2,,,
1332.41 7,(2+,861.97 7,100 7,E 2,,,
1332.41 7,(2+,1173.74 7,92 5,E 2,,,
1332.41 7,(2+,1173.74 7,100 7,E 2,,,
1332.41 7,3,861.97 7,92 5,E 2,,,
1332.41 7,3,861.97 7,100 7,E 2,,,
1332.41 7,3,1173.74 7,92 5,E 2,,,
1332.41 7,3,1173.74 7,100 7,E 2,,,
1332.41 7,4+),861.97 7,92 5,E 2,,,
1332.41 7,4+),861.97 7,100 7,E 2,,,
1332.41 7,4+),1173.74 7,92 5,E 2,,,
1332.41 7,4+),1173.74 7,100 7,E 2,,,
1404.85 7,nan,397.6 1,51 5,E 2,,,
1404.85 7,nan,397.6 1,100 16,E 2,,,
1404.85 7,nan,397.6 1,95 5,E 2,,,
1404.85 7,nan,594.65 10,51 5,E 2,,,
1404.85 7,nan,594.65 10,100 16,E 2,,,
1404.85 7,nan,594.65 10,95 5,E 2,,,
1404.85 7,nan,1246.37 7,51 5,E 2,,,
1404.85 7,nan,1246.37 7,100 16,E 2,,,
1404.85 7,nan,1246.37 7,95 5,E 2,,,
1406.4 6,8+,509.5 3,100 0,E 2,,,
1418.9 14,(5+),413,,E 2,,,
1418.9 14,(5+),413,,E 2,,,
1418.9 14,(5+),949,,E 2,,,
1418.9 14,(5+),949,,E 2,,,
1466.3 6,(5-),995.8 10,100 0,E 2,,,
1551.39 10,(4-),544.27 10,59 11,E 2,,,
1551.39 10,(4-),544.27 10,100 13,E 2,,,
1551.39 10,(4-),1080.86 12,59 11,E 2,,,
1551.39 10,(4-),1080.86 12,100 13,E 2,,,
1603.05 21,(2+,1132.75 11,100 12,E 2,,,
1603.05 21,(2+,1132.75 11,92 4,E 2,,,
1603.05 21,(2+,1444.4 2,100 12,E 2,,,
1603.05 21,(2+,1444.4 2,92 4,E 2,,,
1603.05 21,3,1132.75 11,100 12,E 2,,,
1603.05 21,3,1132.75 11,92 4,E 2,,,
1603.05 21,3,1444.4 2,100 12,E 2,,,
1603.05 21,3,1444.4 2,92 4,E 2,,,
1603.05 21,4+),1132.75 11,100 12,E 2,,,
1603.05 21,4+),1132.75 11,92 4,E 2,,,
1603.05 21,4+),1444.4 2,100 12,E 2,,,
1603.05 21,4+),1444.4 2,92 4,E 2,,,
1726.3 6,(7-),259,,E 2,,,
1726.3 6,(7-),259,,E 2,,,
1726.3 6,(7-),259,100 0,E 2,,,
1726.3 6,(7-),320,,E 2,,,
1726.3 6,(7-),320,,E 2,,,
1726.3 6,(7-),320,100 0,E 2,,,
1726.3 6,(7-),829.3 3,,E 2,,,
1726.3 6,(7-),829.3 3,,E 2,,,
1726.3 6,(7-),829.3 3,100 0,E 2,,,
1841.1 6,(6-),289.2 3,34 7,E 2,,,
1841.1 6,(6-),289.2 3,100 10,E 2,,,
1841.1 6,(6-),289.2 3,,E 2,,,
1841.1 6,(6-),289.2 3,90 10,E 2,,,
1841.1 6,(6-),374.7 3,34 7,E 2,,,
1841.1 6,(6-),374.7 3,100 10,E 2,,,
1841.1 6,(6-),374.7 3,,E 2,,,
1841.1 6,(6-),374.7 3,90 10,E 2,,,
1841.1 6,(6-),421,34 7,E 2,,,
1841.1 6,(6-),421,100 10,E 2,,,
1841.1 6,(6-),421,,E 2,,,
1841.1 6,(6-),421,90 10,E 2,,,
