E(level)(keV),JPi(level),E()(keV),I(),M(),BandName,BandNum,H
0,1/2-,nan,nan,E 2,Hf173,9,72
69.73 4,3/2-,69.70 5,100 0,E 2,,,
81.49 5,5/2-,11.9 2,,E 2,,,
81.49 5,5/2-,11.9 2,100 0,E 2,,,
81.49 5,5/2-,81.5 1,,E 2,,,
81.49 5,5/2-,81.5 1,100 0,E 2,,,
107.16 5,5/2-,25.70 5,11 3,E 2,,,
107.16 5,5/2-,25.70 5,11 3,E 2,,,
107.16 5,5/2-,25.70 5,100 11,E 2,,,
107.16 5,5/2-,25.70 5,100 11,E 2,,,
107.16 5,5/2-,25.70 5,,E 2,,,
107.16 5,5/2-,25.70 5,,E 2,,,
107.16 5,5/2-,37.40 5,11 3,E 2,,,
107.16 5,5/2-,37.40 5,11 3,E 2,,,
107.16 5,5/2-,37.40 5,100 11,E 2,,,
107.16 5,5/2-,37.40 5,100 11,E 2,,,
107.16 5,5/2-,37.40 5,,E 2,,,
107.16 5,5/2-,37.40 5,,E 2,,,
107.16 5,5/2-,107.2 2,11 3,E 2,,,
107.16 5,5/2-,107.2 2,11 3,E 2,,,
107.16 5,5/2-,107.2 2,100 11,E 2,,,
107.16 5,5/2-,107.2 2,100 11,E 2,,,
107.16 5,5/2-,107.2 2,,E 2,,,
107.16 5,5/2-,107.2 2,,E 2,,,
197.23 10,7/2-,90.0 2,100 0,E 2,,,
197.47 10,7/2+,90.3 1,100 0,E 1,,,
241.90 7,7/2-,160.4 1,9.3 10,E 2,,,
241.90 7,7/2-,160.4 1,9.3 10,E 2,,,
241.90 7,7/2-,160.4 1,100 10,E 2,,,
241.90 7,7/2-,160.4 1,100 10,E 2,,,
241.90 7,7/2-,172.2 1,9.3 10,E 2,,,
241.90 7,7/2-,172.2 1,9.3 10,E 2,,,
241.90 7,7/2-,172.2 1,100 10,E 2,,,
241.90 7,7/2-,172.2 1,100 10,E 2,,,
255.51 11,9/2+,58.05 5,100 0,E 2,,,
262.14 8,9/2-,20.3 1,,E 2,,,
262.14 8,9/2-,20.3 1,100 0,E 2,,,
