E(level)(keV),Jπ(level),E(γ)(keV),I(γ),M(γ),Final Levels,JPi(final)
0,1/2-,nan,nan,E 2,nan,nan
69.73 4,3/2-,69.70 5,100 0,E 2,0,1/2-
81.49 5,5/2-,11.9 2,,E 2,"69.73, 0.0","3/2-, 1/2-"
81.49 5,5/2-,81.5 1,100 0,E 2,"69.73, 0.0","3/2-, 1/2-"
107.16 5,5/2-,25.70 5,11 3,E 2,"81.49, 69.73, 0.0","5/2-, 3/2-, 1/2-"
107.16 5,5/2-,25.70 5,11 3,E 2,"81.49, 69.73, 0.0","5/2-, 3/2-, 1/2-"
107.16 5,5/2-,37.40 5,100 11,E 2,"81.49, 69.73, 0.0","5/2-, 3/2-, 1/2-"
107.16 5,5/2-,37.40 5,100 11,E 2,"81.49, 69.73, 0.0","5/2-, 3/2-, 1/2-"
107.16 5,5/2-,107.2 2,,E 2,"81.49, 69.73, 0.0","5/2-, 3/2-, 1/2-"
107.16 5,5/2-,107.2 2,,E 2,"81.49, 69.73, 0.0","5/2-, 3/2-, 1/2-"
197.23 10,7/2-,90.0 2,100 0,E 2,107.16,5/2-
197.47 10,7/2+,90.3 1,100 0,E 1,107.16,5/2-
241.90 7,7/2-,160.4 1,9.3 10,E 2,"81.49, 69.73","5/2-, 3/2-"
241.90 7,7/2-,160.4 1,9.3 10,E 2,"81.49, 69.73","5/2-, 3/2-"
241.90 7,7/2-,172.2 1,100 10,E 2,"81.49, 69.73","5/2-, 3/2-"
241.90 7,7/2-,172.2 1,100 10,E 2,"81.49, 69.73","5/2-, 3/2-"
255.51 11,9/2+,58.05 5,100 0,E 2,197.47,7/2+
262.14 8,9/2-,20.3 1,,E 2,"241.90, 81.49","7/2-, 5/2-"
262.14 8,9/2-,180.6 1,100 0,E 2,"241.90, 81.49","7/2-, 5/2-"
312.27 11,9/2-,115.0 1,100 18,E 2,"197.23, 107.16","7/2-, 5/2-"
312.27 11,9/2-,115.0 1,100 18,E 2,"197.23, 107.16","7/2-, 5/2-"
312.27 11,9/2-,205.3 2,51 12,E 2,"197.23, 107.16","7/2-, 5/2-"
312.27 11,9/2-,205.3 2,51 12,E 2,"197.23, 107.16","7/2-, 5/2-"
336.0 3,11/2+,80.6 3,100 6,E 2,"255.51, 197.47","9/2+, 7/2+"
336.0 3,11/2+,138.1 3,37 4,E 2,"255.51, 197.47","9/2+, 7/2+"
435.4 3,13/2+,99.2 3,100 4,E 2,"336.0, 255.51","11/2+, 9/2+"
435.4 3,13/2+,99.2 3,100 4,E 2,"336.0, 255.51","11/2+, 9/2+"
435.4 3,13/2+,180.0 3,81 6,E 2,"336.0, 255.51","11/2+, 9/2+"
435.4 3,13/2+,180.0 3,81 6,E 2,"336.0, 255.51","11/2+, 9/2+"
451.5 2,11/2-,139.2 2,96 27,E 2,"312.27, 197.23","9/2-, 7/2-"
451.5 2,11/2-,254.4 2,100 32,E 2,"312.27, 197.23","9/2-, 7/2-"
508.6 2,11/2-,246.8 2,34 13,E 2,"262.14, 241.90","9/2-, 7/2-"
508.6 2,11/2-,266.9 2,100 2,E 2,"262.14, 241.90","9/2-, 7/2-"
536.0 3,13/2-,273.8 3,100 0,E 2,262.14,9/2-
567.4 3,15/2+,131.9 3,68 3,E 2,"435.4, 336.0","13/2+, 11/2+"
567.4 3,15/2+,131.9 3,68 3,E 2,"435.4, 336.0","13/2+, 11/2+"
567.4 3,15/2+,231.5 3,100 5,E 2,"435.4, 336.0","13/2+, 11/2+"
567.4 3,15/2+,231.5 3,100 5,E 2,"435.4, 336.0","13/2+, 11/2+"
613.7 2,13/2-,162.3 3,53 7,E 2,"451.5, 312.27","11/2-, 9/2-"
613.7 2,13/2-,162.3 3,53 7,E 2,"451.5, 312.27","11/2-, 9/2-"
613.7 2,13/2-,301.3 3,100 3,E 2,"451.5, 312.27","11/2-, 9/2-"
613.7 2,13/2-,301.3 3,100 3,E 2,"451.5, 312.27","11/2-, 9/2-"
635.8 2,7/2+,380.3 2,18 5,E 2,"255.51, 197.47","9/2+, 7/2+"
635.8 2,7/2+,438.3 1,100 29,E 2,"255.51, 197.47","9/2+, 7/2+"
704.2 3,17/2+,136.6 3,30.7 17,E 2,"567.4, 435.4","15/2+, 13/2+"
704.2 3,17/2+,136.6 3,30.7 17,E 2,"567.4, 435.4","15/2+, 13/2+"
704.2 3,17/2+,269.0 3,100.0 6,E 2,"567.4, 435.4","15/2+, 13/2+"
704.2 3,17/2+,269.0 3,100.0 6,E 2,"567.4, 435.4","15/2+, 13/2+"
775.2 2,5/2-,463.4 1,7.9 21,E 2,"312.27, 197.23, 107.16","9/2-, 7/2-, 5/2-"
775.2 2,5/2-,577.6 2,11 3,E 2,"312.27, 197.23, 107.16","9/2-, 7/2-, 5/2-"
775.2 2,5/2-,667.7 2,100 26,E 2,"312.27, 197.23, 107.16","9/2-, 7/2-, 5/2-"
785.3 2,7/2-,529.8 2,100 27,E 1,"255.51, 197.23","9/2+, 7/2-"
785.3 2,7/2-,529.8 2,100 27,E 2,"255.51, 197.23","9/2+, 7/2-"
785.3 2,7/2-,587.8 2,46 12,E 1,"255.51, 197.23","9/2+, 7/2-"
785.3 2,7/2-,587.8 2,46 12,E 2,"255.51, 197.23","9/2+, 7/2-"
797.5 3,(15/2-),183.8 3,34 4,E 2,"613.7, 451.5","13/2-, 11/2-"
797.5 3,(15/2-),346.1 3,100.0 18,E 2,"613.7, 451.5","13/2-, 11/2-"
811.7 1,5/2-,549.6 2,62 18,E 2,"262.14, 241.90, 81.49, 69.73, 0.0","9/2-, 7/2-, 5/2-, 3/2-, 1/2-"
811.7 1,5/2-,569.6 2,12 3,E 2,"262.14, 241.90, 81.49, 69.73, 0.0","9/2-, 7/2-, 5/2-, 3/2-, 1/2-"
811.7 1,5/2-,730.6 2,100 26,E 2,"262.14, 241.90, 81.49, 69.73, 0.0","9/2-, 7/2-, 5/2-, 3/2-, 1/2-"
811.7 1,5/2-,742.0 4,≈18,E 2,"262.14, 241.90, 81.49, 69.73, 0.0","9/2-, 7/2-, 5/2-, 3/2-, 1/2-"
811.7 1,5/2-,811.7 2,68 18,E 2,"262.14, 241.90, 81.49, 69.73, 0.0","9/2-, 7/2-, 5/2-, 3/2-, 1/2-"
862.2 3,15/2-,326 1,35.8 25,E 2,"536.0, 508.6","13/2-, 11/2-"
862.2 3,15/2-,353.6 3,100 2,E 2,"536.0, 508.6","13/2-, 11/2-"
895.0 4,17/2-,359.0 3,100 0,E 2,536,13/2-
896.0 3,19/2+,191.7 3,33 3,E 2,"704.2, 567.4","17/2+, 15/2+"
896.0 3,19/2+,191.7 3,33 3,E 2,"704.2, 567.4","17/2+, 15/2+"
896.0 3,19/2+,328.7 3,100 6,E 2,"704.2, 567.4","17/2+, 15/2+"
896.0 3,19/2+,328.7 3,100 6,E 2,"704.2, 567.4","17/2+, 15/2+"
927.5 1,5/2-,685.6 2,27 7,E 2,"241.90, 81.49, 69.73","7/2-, 5/2-, 3/2-"
927.5 1,5/2-,846.1 2,100 27,E 2,"241.90, 81.49, 69.73","7/2-, 5/2-, 3/2-"
927.5 1,5/2-,857.6 2,62 15,E 2,"241.90, 81.49, 69.73","7/2-, 5/2-, 3/2-"
942.8 1,7/2-,434.3 1,4.5 12,E 2,"508.6, 262.14, 241.90, 81.49, 69.73","11/2-, 9/2-, 7/2-, 5/2-, 3/2-"
942.8 1,7/2-,680.2 2,7.6 20,E 2,"508.6, 262.14, 241.90, 81.49, 69.73","11/2-, 9/2-, 7/2-, 5/2-, 3/2-"
942.8 1,7/2-,700.6 2,100 8,E 2,"508.6, 262.14, 241.90, 81.49, 69.73","11/2-, 9/2-, 7/2-, 5/2-, 3/2-"
942.8 1,7/2-,861.7 2,7.6 20,E 2,"508.6, 262.14, 241.90, 81.49, 69.73","11/2-, 9/2-, 7/2-, 5/2-, 3/2-"
942.8 1,7/2-,873.0 2,61 15,E 2,"508.6, 262.14, 241.90, 81.49, 69.73","11/2-, 9/2-, 7/2-, 5/2-, 3/2-"
958.3 1,3/2,851.0 2,24 6,E 2,"107.16, 81.49, 69.73, 0.0","5/2-, 5/2-, 3/2-, 1/2-"
958.3 1,3/2,876.6 2,69 17,E 2,"107.16, 81.49, 69.73, 0.0","5/2-, 5/2-, 3/2-, 1/2-"
958.3 1,3/2,888.7 2,36 9,E 2,"107.16, 81.49, 69.73, 0.0","5/2-, 5/2-, 3/2-, 1/2-"
958.3 1,3/2,958.6 2,100 28,E 2,"107.16, 81.49, 69.73, 0.0","5/2-, 5/2-, 3/2-, 1/2-"
1002.6 3,(17/2-),205.1 3,26 10,E 2,"797.5, 613.7","(15/2-), 13/2-"
