E(level)(keV),Jπ(level),T1/2(level),E(γ)(keV),I(γ),M(γ)
0,0+,"6.77 m 30 , % ε = 100",,,
158.64 5,2+,497 ps 23,158.64 4,100,E2
470.46 6,4+,16.4 ps 5,311.87 5,100,E2
809.96 6,(2+),,"651.26 5 ,    810.0 3","93.6 20 ,   100 9",","
897.17 12,6+,3.24 ps 19,426.7 1,100,E2
1007.16 6,(3+),,"536.81 7 ,    848.41 6","15.7 16 ,   100 7",","
1064.99 10,(0+),,906.35 9,100,(E2)
1162.70 8,,,692.23 6,100,
1218.76 8,2+,,"748.25 7 ,   1060.2 1 ,   1218.8 3","100 7 ,    77 10 ,    33 13",", ,"
1332.41 7,"(2+,3,4+)",,"861.97 7 ,   1173.74 7","92 5 ,   100 7",","
1404.85 7,,,"397.6 1 ,    594.65 10 ,   1246.37 7","51 5 ,   100 16 ,    95 5",", ,"
1406.4 6,8+,1.05 ps 10,509.5 3,100,E2
1418.9 14,(5+),,"413,    949",",",","
1466.3 6,(5-),,995.8 10,100,D
1551.39 10,(4-),,"544.27 10 ,   1080.86 12","59 11 ,   100 13",", D"
1603.05 21,"(2+,3,4+)",,"1132.75 11 ,   1444.4 2","100 12 ,    92 4",","
1726.3 6,(7-),,"259,    320,    829.3 3",",  ,   100",", , D"
1841.1 6,(6-),,"289.2 3 ,    374.7 3 ,    421,    944.3 3","34 7 ,   100 10 ,  ,    90 10",", , , D"
1971.9 6,10+,0.7 ps 5,565.5 3,100,E2
2078.5 6,(9-),1.7 ps 4,"352.2 3 ,    672.2 3","28 3 ,   100 5","E2, D"
2197.3 6,(8-),,"356.3 3 ,    471.0 3","100 10 ,    80 8",","
2376.5 16,(8-),,537,,
2496.7 6,(11-),,"418.1 3 ,    524.7 3","100 10 ,    62 6","(E2), D"
2539.7 6,(10-),,"342.5 3 ,    461.2 3","100 10 ,    87 9",","
2565.8 7,12+,0.9 ps 7,594.0 3,100,E2
2680.1 16,(10-),,"304,    484",",",", Q"
2734.6 7,12+,,"168,    762.7 3",",   100",", (E2)"
2793.1 18,(11-),,716,100,
2910.9 6,(12-),,"371.3 3 ,    414.0 3","100 10 ,    47 4","(E2),"
2962.2 7,(13-),,"396.4 3 ,    465.4 3","8.2 16 ,   100 5",", (E2)"
3009.2 7,14+,6.9 ps 7,"274.6 3 ,    443.4 3","22.3 24 ,   100 5","E2, E2"
3023.9 18,(12+),,"460,   1054",",",","
3085.8 17,(12-),,"406,    547",",",","
3211.1 7,14(+),,645.3 3,100,(E2)
3231.4 18,(13-),,"438,    737",",",", Q"
3375.1 7,(14-),,"413,    464.2 3",",   100",", (E2)"
3449.0 8,16+,,439.8 3,100,(E2)
3472.6 7,(15-),,"261,    510.4 3",",   100",", (E2)"
3515.8 18,(14+),,"492,    952",",",","
3585.6 18,(14-),,500,100,
3779.4 18,(15-),,"548,    819",",",", Q"
3817.4 20,(15-),,811,,
3835.2 8,(16+),,624,100,
3920.3 8,(16-),,"448,    545.2 3",",   100",", (E2)"
3972.1 20,(15-),,965,100,
4009.2 8,18+,,560.2 3,100,(E2)
4030.1 8,(17-),,557.5 3,100,(E2)
4064.7 19,(16+),,"549,    856",",",","
4163.5 19,(16-),,578,100,
4228.5 19,(16-),,643,100,
4374.0 20,(17-),,"557,    927",",",","
4400.4 21,(17-),,621,100,
4443.4 20,(17-),,"471,    997",",",","
4445.4 20,(14-),,,,
4459.3 9,(18+),,623,100,
4516.0 8,(18-),,595.7 3,100,
4582.0 19,(15-),,"137,   1373,   1575",",  ,",", ,"
4625.2 9,(19-),,595.1 3,100,
4641.4 19,(18-),,"413,    478,    723",",  ,",", , Q"
4671.0 9,20+,,661.8 3,100,
4677.4 20,(18+),,"613,    844",",",","
4744.9 19,(16-),,"163,    299,   1298",",  ,",", , D"
4823.5 22,(18-),,660,100,
4937.1 19,(17-),,"192,    355,   1491",",  ,",", ,"
5005.6 20,(19-),,"562,    632,    999",",  ,",", ,"
5031.3 20,(19-),,"588,    657,   1025",",  ,",", , D"
5071.4 23,(19-),,671,100,
5086.9 22,(19-),,1059,100,(Q)
5089.6 9,(20-),,573.6 3,100,
5121.7 9,(20+),,662.3 3,100,
5157.5 21,(19+),,1151,100,
5160.0 20,(18-),,"223,    415,   1153",",  ,",", ,"
5214.3 20,(20-),,"573,    700",",",", Q"
5253.3 9,(21-),,628.1 3,100,(E2)
5313.0 21,(20+),,"636,    856",",",","
5409.9 9,22+,,738.9 3,100,[E2]
5410.0 21,(19-),,"250,    473",",",","
5510.5 24,(20-),,687,100,
5665.9 23,(21-),,"579,   1043",",",","
5672.7 22,(21-),,667,100,
5678.8 9,(22-),,589.2 3,100,
5687.1 21,(20-),,"277,    527",",",","
5720.4 21,(21-),,"689,   1052",",",","
5784.4 25,(21-),,713,100,
5798.5 21,(21+),,"641,   1130",",",","
5851.7 10,(22+),,"730.0 3 ,   1180","100,",","
5897.3 22,(22-),,683,,
5926.9 10,(23-),,673.6 3,100,
5986.0 23,(22+),,"673,    867?",",",","
5987.8 22,(21-),,"301,    578",",",","
6201.2 10,24+,,791.3 3,100,
6243 3,(22-),,733,100,
6310.6 22,(22-),,"323,    623",",",","
6331.0 24,(23-),,"665,   1080",",",", Q"
6356.4 10,(24-),,677.6 3,100,
6385.7 25,(23-),,713,100,
6441.4 23,(23-),,721,100,
6531 3,(23-),,747,100,
6536.5 24,(23+),,738,100,
6615.0 22,(24+),,"766,   1208",",",","
6641.3 24,(24-),,744,100,
6650.6 23,(23-),,"340,    663",",",","
6665.5 10,(25-),,738.6 3,100,
6978 3,(24-),,735,100,
7006.6 23,(24-),,"356,    696",",",","
7030.1 10,26+,,828.9 3,100,
7078.2 25,(25-),,"747,   1155",",",","
7137.4 10,(26-),,781.0 3,100,
