"E(level)(keV)","XREF","Jπ(level)","T1/2(level)","E(γ)(keV)","I(γ)","M(γ)","Final Levels",
"0.0","AB","1/2-","23.6 h 1 , % ε = 100","","","","","",
"69.73 4","AB","3/2-","","69.70 5","100","M1+E2","0.0","1/2-",
"81.49 5","AB","5/2-","","11.9 2 ,     81.5 1",",    100",", E2","69.73,         0.0","3/2-, 1/2-",
"107.16 5","AB","5/2-","180 ns 8","25.70 5 ,     37.40 5 ,    107.2 2","11 3 ,    100 11 ,","M1, M1+E2, (E2)","81.49,        69.73,         0.0","5/2-, 3/2-, 1/2-",
"197.23 10","AB","7/2-","","90.0 2","100","M1+E2","107.16","5/2-",
"197.47 10","AB","7/2+","160 ns 40","90.3 1","100","E1","107.16","5/2-",
"241.90 7","AB","7/2-","","160.4 1 ,    172.2 1","9.3 10 ,    100 10","M1+E2, E2","81.49,        69.73","5/2-, 3/2-",
"255.51 11","AB","9/2+","","58.05 5","100","M1+E2","197.47","7/2+",
"262.14 8","AB","9/2-","","20.3 1 ,    180.6 1",",    100",", E2","241.90,        81.49","7/2-, 5/2-",
"312.27 11","AB","9/2-","","115.0 1 ,    205.3 2","100 18 ,     51 12","M1+E2, (E2)","197.23,       107.16","7/2-, 5/2-",
"336.0 3","B","11/2+","","80.6 3 ,    138.1 3","100 6 ,     37 4",",","255.51,       197.47","9/2+, 7/2+",
"435.4 3","B","13/2+","","99.2 3 ,    180.0 3","100 4 ,     81 6","M1+E2, (E2)","336.0,       255.51","11/2+, 9/2+",
"451.5 2","AB","11/2-","","139.2 2 ,    254.4 2","96 27 ,    100 32","M1+E2,","312.27,       197.23","9/2-, 7/2-",
"508.6 2","AB","11/2-","","246.8 2 ,    266.9 2","34 13 ,    100 2",", E2","262.14,       241.90","9/2-, 7/2-",
"536.0 3","B","13/2-","","273.8 3","100","E2","262.14","9/2-",
"567.4 3","B","15/2+","","131.9 3 ,    231.5 3","68 3 ,    100 5","M1+E2, E2","435.4,       336.0","13/2+, 11/2+",
"613.7 2","B","13/2-","","162.3 3 ,    301.3 3","53 7 ,    100 3","M1+E2, (E2)","451.5,       312.27","11/2-, 9/2-",
"635.8 2 ?","A","5/2+,7/2,9/2+","","380.3 2 ,    438.3 1","18 5 ,    100 29",",","255.51,       197.47","9/2+, 7/2+",
"704.2 3","B","17/2+","","136.6 3 ,    269.0 3","30.7 17 ,    100.0 6","M1+E2, (E2)","567.4,       435.4","15/2+, 13/2+",
"775.2 2","A","5/2-,7/2","","463.4 1 ,    577.6 2 ,    667.7 2","7.9 21 ,     11 3 ,    100 26",", ,","312.27,       197.23,       107.16","9/2-, 7/2-, 5/2-",
"785.3 2 ?","A","7/2-,9/2-","","529.8 2 ,    587.8 2","100 27 ,     46 12","E1, M1+E2","255.51,       197.23","9/2+, 7/2-",
"797.5 3","B","(15/2-)","","183.8 3 ,    346.1 3","34 4 ,    100.0 18",", (E2)","613.7,       451.5","13/2-, 11/2-",
