E(level)(keV),Jπ(level),E(γ)(keV),I(γ),M(γ),
0,1/2-,,,,
69.73 4,3/2-,69.70 5,100,M1+E2,1/2-
81.49 5,5/2-,"11.9 2 ,     81.5 1",",    100",", E2","3/2-, 1/2-"
107.16 5,5/2-,"25.70 5 ,     37.40 5 ,    107.2 2","11 3 ,    100 11 ,","M1, M1+E2, (E2)","5/2-, 3/2-, 1/2-"
197.23 10,7/2-,90.0 2,100,M1+E2,5/2-
197.47 10,7/2+,90.3 1,100,E1,5/2-
241.90 7,7/2-,"160.4 1 ,    172.2 1","9.3 10 ,    100 10","M1+E2, E2","5/2-, 3/2-"
255.51 11,9/2+,58.05 5,100,M1+E2,7/2+
262.14 8,9/2-,"20.3 1 ,    180.6 1",",    100",", E2","7/2-, 5/2-"
312.27 11,9/2-,"115.0 1 ,    205.3 2","100 18 ,     51 12","M1+E2, (E2)","7/2-, 5/2-"
336.0 3,11/2+,"80.6 3 ,    138.1 3","100 6 ,     37 4",",","9/2+, 7/2+"
435.4 3,13/2+,"99.2 3 ,    180.0 3","100 4 ,     81 6","M1+E2, (E2)","11/2+, 9/2+"
451.5 2,11/2-,"139.2 2 ,    254.4 2","96 27 ,    100 32","M1+E2,","9/2-, 7/2-"
508.6 2,11/2-,"246.8 2 ,    266.9 2","34 13 ,    100 2",", E2","9/2-, 7/2-"
536.0 3,13/2-,273.8 3,100,E2,9/2-
567.4 3,15/2+,"131.9 3 ,    231.5 3","68 3 ,    100 5","M1+E2, E2","13/2+, 11/2+"
613.7 2,13/2-,"162.3 3 ,    301.3 3","53 7 ,    100 3","M1+E2, (E2)","11/2-, 9/2-"
635.8 2 ?,"5/2+,7/2,9/2+","380.3 2 ,    438.3 1","18 5 ,    100 29",",","9/2+, 7/2+"
704.2 3,17/2+,"136.6 3 ,    269.0 3","30.7 17 ,    100.0 6","M1+E2, (E2)","15/2+, 13/2+"
775.2 2,"5/2-,7/2","463.4 1 ,    577.6 2 ,    667.7 2","7.9 21 ,     11 3 ,    100 26",", ,","9/2-, 7/2-, 5/2-"
785.3 2 ?,"7/2-,9/2-","529.8 2 ,    587.8 2","100 27 ,     46 12","E1, M1+E2","9/2+, 7/2-"
797.5 3,(15/2-),"183.8 3 ,    346.1 3","34 4 ,    100.0 18",", (E2)","13/2-, 11/2-"
811.7 1,5/2-,"549.6 2 ,    569.6 2 ,    730.6 2 ,    742.0 4 ,    811.7 2","62 18 ,     12 3 ,    100 26 ,    ≈18,     68 18",", , M1, ,","9/2-, 7/2-, 5/2-, 3/2-, 1/2-"
862.2 3,15/2-,"326 1 ,    353.6 3","35.8 25 ,    100 2",", E2","13/2-, 11/2-"
895.0 4,17/2-,359.0 3,100,E2,13/2-
896.0 3,19/2+,"191.7 3 ,    328.7 3","33 3 ,    100 6","M1+E2, E2","17/2+, 15/2+"
927.5 1,"3/2-,5/2,7/2-","685.6 2 ,    846.1 2 ,    857.6 2","27 7 ,    100 27 ,     62 15",", ,","7/2-, 5/2-, 3/2-"
942.8 1,7/2-,"434.3 1 ,    680.2 2 ,    700.6 2 ,    861.7 2 ,    873.0 2","4.5 12 ,      7.6 20 ,    100 8 ,      7.6 20 ,     61 15",", , M1+E2, ,","11/2-, 9/2-, 7/2-, 5/2-, 3/2-"
958.3 1 ?,"3/2,5/2-","851.0 2 ,    876.6 2 ,    888.7 2 ,    958.6 2","24 6 ,     69 17 ,     36 9 ,    100 28",", , ,","5/2-, 5/2-, 3/2-, 1/2-"
1002.6 3,(17/2-),"205.1 3 ,    388.9 3","26 10 ,    100 2",", E2","(15/2-), 13/2-"
1020.1 1,"5/2-,7/2-","707.9 2 ,    778.2 2 ,    822.8 2 ,    938.7 2 ,    950.4 2","10 3 ,    100 28 ,     62 17 ,     21 5 ,     48 14",", , , ,","9/2-, 7/2-, 7/2-, 5/2-, 3/2-"
1060.0 3,21/2+,"164.0 3 ,    355.7 3","13.0 11 ,    100.0 6","M1+E2, E2","19/2+, 17/2+"
1078.3 4,(13/2+),"511.0 3 ,    643 1 ?",",",",","15/2+, 13/2+"
1111.4 1,7/2+,"660.0 2 ?,    799.1 2 ,    914.0 2 ,   1030.0 2","2.5 6 ,     31 9 ,     20 5 ,    100 12",", , , E1","11/2-, 9/2-, 7/2-, 5/2-"
1126.9 1,5/2-,"864.6 2 ,   1045.2 2 ,   1057.3 2 ,   1127.0 2","100 26 ,     89 26 ,     16 4 ,     32 8",", , ,","9/2-, 5/2-, 3/2-, 1/2-"
1192.6 2,"3/2-,5/2,7/2","995.4 2 ,   1085.5 2","88 24 ,    100 29",",","7/2-, 5/2-"
1208.4 3,(15/2+),"130.2 3 ,    504.2 3 ,    641 1 ?","100 38 ,    ≤38,    ≤38",", ,","(13/2+), 17/2+, 15/2+"
1225.8 3,(19/2-),"223.2 3 ,    428.3 3","16 5 ,    100.0 15","M1+E2, E2","(17/2-), (15/2-)"
1248.5 1,7/2-,"739.6 4 ,    986.5 2 ,   1006.6 2 ,   1166.9 2 ,   1178.7 2","≈19,     13 3 ,    100 25 ,     16 4 ,     47 13",", , M1, ,","11/2-, 9/2-, 7/2-, 5/2-, 3/2-"
1294.4 4,19/2-,"400 1 ,    432.2 3","≤2.6,    100.0 15",", E2","17/2-, 15/2-"
1317.5 4,23/2+,"257.5 3 ,    421.5 3","19.5 24 ,    100 5",", E2","21/2+, 19/2+"
1330.5 4,21/2-,435.4 3,100,E2,17/2-
1355.2 3,(17/2+),"146.8 3 ,    277 1 ?,    459.2 3 ,    651.0 3","87 78 ,    ≤22,    100 17 ,     48 2",", , ,","(15/2+), (13/2+), 19/2+, 17/2+"
1450.2 1,9/2+,"942.0 2 ?,   1208.2 2 ,   1253.0 2 ,   1343.2 2 ,   1368.2 2 ,   1380.3 2","6.5 20 ,    100 10 ,      5.9 20 ,     <6.5,     14 4 ,     20 5",", E1, , , ,","11/2-, 7/2-, 7/2-, 5/2-, 5/2-, 3/2-"
1467.2 3,(21/2-),"241.5 3 ,    464.7 3","15 5 ,    100 2",", E2","(19/2-), (17/2-)"
1473.2 4,(17/2-),578.2 3,100,,17/2-
1498.1 4,25/2+,"180.4 3 ,    438.3 3","4.2 24 ,    100.0 6",", E2","23/2+, 21/2+"
1521 1 ?,(19/2+),166 1 ?,100,,(17/2+)
1574.1 2,"3/2-,5/2-","1332.4 4 ,   1492.5 3 ,   1504.3 3 ,   1574.2 3 ?","71 19 ,    100 26 ,     57 14 ,   <270",", , ,","7/2-, 5/2-, 3/2-, 1/2-"
1655.5 2,"5/2-,7/2-","1343.2 2 ?,   1393.5 3 ,   1413.5 3 ,   1574.2 3 ,   1585.7 3","<24,    100 27 ,     17 4 ,    <46,    <15",", , , ,","9/2-, 9/2-, 7/2-, 5/2-, 3/2-"
1667.3 2,"5/2-,7/2-","1405.3 3 ,   1425.2 5 ,   1585.7 3 ,   1597.6 3","39 9 ,     50 13 ,    <38,    100 25",", , ,","9/2-, 7/2-, 5/2-, 3/2-"
1694.5 2,"5/2-,7/2","1432.2 3 ,   1452.7 5 ,   1613.2 3","100 25 ,  ,     84 22",", ,","9/2-, 7/2-, 5/2-"
1700.5 3,19/2+,"345.2 3 ,    383.0 3 ,    492.2 3 ,    640.5 3 ,    804.6 3 ,    996.2 3 ,   1132.3 3","22 4 ,      3.3 22 ,      4.4 7 ,     45 13 ,     32 9 ,    100 8 ,      6 3",", , , , , E2,","(17/2+), 23/2+, (15/2+), 21/2+, 19/2+, 17/2+, 15/2+"
1722.3 4,(23/2-),"255 1 ,    496.5 3","12 6 ,    100.0 24",", E2","(21/2-), (19/2-)"
1796.4 5,(23/2-),502.0 3,100,(E2),19/2-
